nombre,apellido,grado,ingreso,ruta_ingreso,salida,ruta_salida,acudiente_documento,acudiente_nombre,acudiente_apellido,acudiente_telefono,parentesco
Esperanza,Galvis,203,acudiente,,ruta,4,60778405,Esperanza,Vega,3002104081,Madre
Jorge,Diaz,501,acudiente,,acudiente,,58061979,Joel,Araya,3004278755,Madre
Rafael,Molina,104,acudiente,,acudiente,,40047550,Omar,Garita,3007264820,Padre
Valeria,Restrepo,102,acudiente,,ruta,3,73378470,Camila,Mendez,3001125228,Tia
Cesar,Alzate,201,ruta,3,ruta,4,19499144,Kevin,Garita,3007296882,Tutor
Beatriz,Ramirez,203,ruta,1,acudiente,,65307139,Francisco,Diaz,3006422016,Tutor
Hector,Orozco,101,ruta,3,acudiente,,84683508,Graciela,Morales,3004153526,Hermano
Lydia,Sandoval,503,acudiente,,acudiente,,92575088,Graciela,Campos,3002341711,Abuelo
Javier,Piedrahita,204,acudiente,,acudiente,,56718239,Adriana,Soto,3008230220,Tio
Sofia,Ramirez,503,ruta,4,acudiente,,26761269,Antonella,Rivera,3007454758,Hermano
Martha,Garita,502,ruta,4,ruta,3,69705711,Alejandra,Padilla,3006799580,Abuelo
Lorena,Garita,204,acudiente,,acudiente,,91929610,Felipe,Romero,3005178674,Tia
Sebastian,Delgado,501,acudiente,,acudiente,,67506472,Fernando,Paredes,3006168835,Tia
Oscar,Escobar,501,ruta,3,ruta,4,41970132,Isabella,Paredes,3001957015,Abuelo
Ramon,Arias,301,acudiente,,ruta,1,52829555,Manuela,Rivas,3005419110,Tio
Juan,Sandoval,301,ruta,2,ruta,4,34170461,Lydia,Gutierrez,3003382779,Madre
Alejandra,Barrios,102,ruta,2,acudiente,,20695323,Maria,Paredes,3003249899,Abuela
Jaime,Vargas,102,ruta,1,ruta,2,27612941,Esperanza,Giraldo,3005581931,Abuela
Nelly,Gonzalez,103,acudiente,,acudiente,,19791988,Fernanda,Diaz,3002687945,Tia
Ramon,Rondon,502,ruta,4,ruta,2,56754668,Lucas,Sandoval,3009402930,Tutor
Beatriz,Garcia,104,ruta,3,acudiente,,73933964,Valeria,Castro,3001725510,Padre
Sara,Ruiz,503,ruta,1,ruta,1,33864165,Sara,Rojas,3005445652,Abuela
Pablo,Torres,501,ruta,1,acudiente,,29963350,Beatriz,Cardona,3007462483,Hermana
Nicolle,Diaz,301,ruta,2,acudiente,,48717964,Sara,Ceballos,3005772704,Abuela
Noelia,Torres,503,acudiente,,ruta,2,29882674,Alejandro,Ceballos,3006070487,Padre
Javier,Echeverri,202,acudiente,,ruta,3,38606794,Lucas,Pacheco,3002971568,Tia
Fernando,Peralta,101,acudiente,,acudiente,,72400501,Alejandra,Solis,3003584765,Hermano
Daniel,Zamora,202,acudiente,,ruta,1,59400266,Dulce,Mora,3007172829,Tutor
Lucas,Medina,403,acudiente,,ruta,3,16606522,Raul,Montes,3005698547,Madre
Ricardo,Mendez,402,ruta,4,ruta,3,57482172,Mario,Reyes,3003485721,Abuelo
Ximena,Ramos,101,ruta,1,acudiente,,79206527,Javier,Martinez,3005798737,Abuelo
Samuel,Gutierrez,201,ruta,3,ruta,3,87896772,Gustavo,Reyes,3001111412,Padre
Aaron,Gonzalez,503,ruta,1,ruta,4,19056638,Edwin,Martinez,3008324711,Abuelo
Daniela,Gonzalez,204,acudiente,,ruta,1,23490266,Benjamin,Maldonado,3009237933,Abuela
David,Cano,202,acudiente,,ruta,4,35156365,Leticia,Carrillo,3003347170,Padre
David,Hernandez,103,ruta,3,acudiente,,21890044,Oscar,Infante,3001486890,Abuelo
William,Restrepo,303,acudiente,,acudiente,,61189257,Felipe,Londoño,3009516735,Tio
Lydia,Mora,403,ruta,3,acudiente,,57998584,Gabriela,Figueroa,3003205268,Abuelo
Daniela,Flores,502,ruta,4,acudiente,,37883156,Maria,Ospina,3004996158,Padre
Leonardo,Miranda,503,ruta,1,acudiente,,38786039,Francisco,Chavez,3003912901,Tio
Leticia,Jimenez,303,ruta,4,ruta,2,63891458,Antonella,Medina,3008281620,Tutor
Ivan,Rondon,402,ruta,4,acudiente,,24268318,Noelia,Rodriguez,3008991056,Hermana
Omar,Torres,301,ruta,2,acudiente,,83434174,Tatiana,Ospina,3002514021,Tutor
Carolina,Leon,402,acudiente,,acudiente,,37272235,Raul,Ramos,3002325105,Hermana
William,Tovar,203,acudiente,,ruta,1,56279197,Camila,Morales,3005675307,Tio
Estela,Rojas,403,ruta,2,acudiente,,12185809,Monica,Calderon,3005702429,Hermana
Rogelio,Zamora,301,ruta,3,ruta,3,86996081,Ruth,Solis,3007665950,Tutor
Samuel,Cardenas,102,acudiente,,acudiente,,72338345,Lucas,Cano,3007970211,Abuela
Claudia,Mendez,201,acudiente,,ruta,2,61865369,Leticia,Pena,3006997469,Tia
Yolanda,Ospina,403,ruta,2,acudiente,,28906605,Andrea,Vega,3005778098,Abuela
David,Calderon,401,acudiente,,ruta,1,24966375,Ruth,Ortiz,3008355547,Madre
Salome,Garcia,102,acudiente,,acudiente,,14145501,Pablo,Medina,3002775404,Madre
Valeria,Peralta,104,ruta,2,acudiente,,46187617,Samuel,Ramirez,3004241039,Abuelo
Sara,Londoño,201,acudiente,,ruta,2,15679497,Hugo,Arias,3007115763,Abuelo
Martha,Escobar,403,acudiente,,ruta,3,95865304,David,Flores,3001191432,Tia
Ramon,Ramirez,502,ruta,2,ruta,3,78778757,Ivan,Ramirez,3005114507,Abuela
Isabella,Garcia,501,acudiente,,ruta,3,25854959,William,Araya,3004029548,Abuela
Santiago,Mora,303,ruta,2,acudiente,,22106794,Dulce,Ruiz,3005074275,Hermana
Manuela,Morales,501,acudiente,,acudiente,,94663426,Hector,Correa,3008079510,Tia
Samuel,Reyes,402,acudiente,,ruta,3,63977973,Gustavo,Ospina,3003265212,Hermano
Ximena,Barrantes,502,ruta,4,acudiente,,14950914,Benjamin,Barrios,3002438573,Padre
Ana,Ruiz,303,acudiente,,ruta,3,78298887,Daniela,Montes,3007402947,Abuelo
Juan,Arango,201,acudiente,,acudiente,,33088407,Lydia,Molina,3004923031,Tio
Andres,Martinez,102,acudiente,,acudiente,,78354760,Mariana,Chavez,3009274155,Hermana
Mateo,Vargas,502,acudiente,,acudiente,,23776739,Patricia,Arias,3001559059,Hermano
Alejandra,Delgado,101,acudiente,,ruta,1,80780228,Luis,Restrepo,3008186249,Madre
Diego,Marin,501,acudiente,,ruta,3,10534749,David,Escobar,3006992992,Tutor
Aaron,Restrepo,301,acudiente,,ruta,2,44967817,Patricia,Miranda,3004027637,Abuelo
Francisco,Arias,402,acudiente,,ruta,2,94071283,Hector,Morales,3004544062,Padre
Francisco,Bermudez,301,ruta,4,ruta,3,59685393,Felipe,Medina,3001602812,Hermano
Rocio,Diaz,104,ruta,4,ruta,3,42257317,Daniel,Barrios,3007758868,Madre
